typeID,attributeID,valueInt,valueFloat
1384,164,0,
1384,165,0,
1384,166,0,
1384,167,0,
1384,168,0,
1384,170,0,
1384,2664,,1.0
1384,378,,1.0
1384,387,,1.0
1384,369,,1.0
1384,1959,,1.0
1384,212,,1.0
1384,1267,,10.0
1384,1277,,0.5
1384,551,,1.0
1384,625,,0.0
1384,626,,1.0
1384,723,,0.9
1384,1021,,15000.0
1384,1022,,1.0
1384,443,,1.0
1384,444,,0.45
1384,445,,0.1
1384,458,20000,
1384,467,1,
1384,522,,2.0
1384,406,,1.0
1384,417,0,
1384,426,,1.0
1384,428,100,
1384,435,1,
1384,442,,1.0
1384,398,,1.0
1384,399,0,
1384,400,1,
1384,401,,1.0
1384,402,,1.0
1384,404,,1.0
1384,392,100,
1384,393,100,
1384,394,100,
1384,395,100,
1384,396,1,
1384,397,0,
1384,361,,0.0
1384,362,,1.0
1384,368,1,
1384,385,,1.0
1384,388,100,
1384,389,100,
1384,196,1,
1384,219,,1.0
1384,355,,1.0
1384,356,,0.0
1384,359,,1.0
1384,360,,0.0
1384,171,0,
1384,172,0,
1384,173,0,
1384,174,0,
1384,187,,0.1
1384,192,2,
2097,9,,100000000.0
2114,9,,100000000.0
2120,9,,100000000.0
2263,525,,1.0
2263,552,,5000.0
2263,9,,500.0
2612,9,100000000,
2910,9,,100000000.0
2927,9,,100000000.0
3056,525,,1.0
3056,252,,0.0
3056,457,,10.0
3056,479,,86400000.0
3056,524,,1.0
3056,552,,1000.0
3056,665,,0.0
3056,250,,5.0
3056,251,,10.0
3056,263,,5000.0
3056,265,,5000.0
3056,416,,0.0
3056,456,,5.0
3056,9,,5000.0
3056,54,,0.0
3056,158,,0.0
3056,160,,0.0
3056,247,,0.0
3076,1465,,50.0
3076,1466,,50.0
3076,1467,,50.0
3076,1468,,50.0
3465,9,500000,
3465,182,11584,
3465,277,1,
3465,552,,650.0
3465,525,,1.0
3468,9,10,
3468,525,,1.0
3594,9,,100000000.0
3611,9,,100000000.0
3614,9,,100000000.0
3637,9,,100000000.0
3657,9,,100000000.0
3660,9,,100000000.0
3674,9,,100000000.0
3677,9,,100000000.0
3680,9,,100000000.0
3720,9,,100000000.0
3757,9,,100000000.0
3760,9,,100000000.0
3763,9,,100000000.0
3780,9,,100000000.0
3783,9,,100000000.0
9877,9,100000000,
9880,9,100000000,
9897,9,100000000,
10235,9,100000000,
10667,525,,1.0
10667,1768,,11313.0
10667,272,,0.4
10667,273,,0.6
10667,274,,0.8
10667,479,,2500000.0
10667,482,,1000.0
10667,484,,0.5
10667,263,,300.0
10667,265,300,
10667,267,,0.4
10667,268,,0.9
10667,269,,0.75
10667,270,,0.65
10667,193,1,
10667,208,15,
10667,209,0,
10667,210,0,
10667,211,0,
10667,245,363,
10667,116,0,
10667,117,0,
10667,118,40,
10667,154,30000,
10667,182,2597,
10667,192,8,
10667,51,7000,
10667,54,45000,
10667,55,,2500000.0
10667,64,,1.0
10667,76,55000,
10667,114,0,
10667,6,0,
10667,9,250,
10770,525,,1.0
10770,1768,,11324.0
10770,273,,0.6
10770,274,,0.8
10770,479,,2500000.0
10770,482,,1000.0
10770,484,,0.75
10770,265,600,
10770,267,,0.4
10770,268,,0.9
10770,269,,0.75
10770,270,,0.65
10770,272,,0.4
10770,208,1,
10770,209,1,
10770,210,1,
10770,211,1,
10770,245,366,
10770,263,,800.0
10770,117,8,
10770,118,20,
10770,154,20000,
10770,182,2597,
10770,192,8,
10770,193,1,
10770,54,55000,
10770,55,,2500000.0
10770,64,,1.0
10770,76,55000,
10770,114,0,
10770,116,8,
10770,6,0,
10770,9,2500,
10770,51,2000,
10773,9,100000000,
12273,154,2500,
12273,622,,5000000.0
12851,525,,1.0
12851,9,10,
12851,629,281,
12854,525,,1.0
12854,9,10,
12854,629,25,
13836,9,100000000,
14477,9,100000000,
17368,525,,1.0
17368,1852,,0.0
17368,9,100000000,
20534,840,3018345,
20537,840,3018348,
20657,840,3018364,
20660,840,3018368,
20677,840,3018385,
20680,840,3018388,
20683,840,3018408,
20697,840,3018405,
21135,840,3018412,
21138,840,3018415,
21155,840,3018434,
21158,840,3018436,
21175,840,3018456,
21178,840,3018430,
21659,9,100000000,
21822,9,100000000,
21825,9,100000000,
22180,840,3018480,
22197,840,3018491,
22632,840,3018500,
22635,840,3018501,
22655,840,3018519,
22658,840,3018522,
22695,840,3018525,
22844,840,3018558,
23070,840,3018543,
23239,840,3018562,
23637,840,3018574,
23697,840,3018576,
23763,9,100000000,
23946,840,3018622,
24029,9,100000000,
24032,9,100000000,
24467,840,3018644,
24739,840,3018661,
24739,841,150000,
25403,840,3018721,
25403,841,150000,
25406,840,3018724,
25406,841,1500000,
25423,840,3018734,
25463,252,,0.0
25463,525,,1.0
25463,552,,1000.0
25463,840,3018760,
25463,263,,2000.0
25463,265,2000,
25463,456,1,
25463,457,1,
25463,479,,86400000.0
25463,481,0,
25463,9,2000,
25463,250,1,
25463,251,1,
25466,840,3018762,
26176,840,3018870,
26193,840,3018887,
26196,840,3018890,
26213,840,3018906,
26233,9,100000000,
26236,9,100000000,
26239,9,100000000,
26468,9,,1500.0
26468,525,,1.0
26468,552,,5000.0
26468,901,,10.0
26482,525,,1.0
26482,9,,1500.0
26482,901,,-10.0
26482,552,,5000.0
26485,9,,2500.0
26485,525,,1.0
26485,552,,5000.0
26485,901,,20.0
26488,9,,700.0
26488,525,,1.0
26488,552,,5000.0
26488,901,,30.0
26505,9,,15000.0
26505,525,,1.0
26505,552,,5000.0
26505,901,,10.0
26508,9,,1500.0
26508,525,,1.0
26508,901,,20.0
26508,552,,5000.0
26525,9,,2500.0
26525,525,,1.0
26525,901,,-10.0
26525,552,,5000.0
26528,552,,5000.0
26528,901,,30.0
26528,525,,1.0
26528,9,,700.0
26545,9,,1000.0
26545,525,,1.0
26545,552,,5000.0
26545,901,,-10.0
26548,9,,1500.0
26548,525,,1.0
26548,552,,5000.0
26548,901,,-10.0
26551,9,,2500.0
26551,525,,1.0
26551,901,,20.0
26551,552,,5000.0
26565,9,,3500.0
26565,525,,1.0
26565,901,,-10.0
26565,552,,5000.0
26568,9,,1500.0
26568,525,,1.0
26568,552,,5000.0
26568,901,,20.0
26571,9,,1500.0
26571,525,,1.0
26571,552,,5000.0
26571,901,,-10.0
26588,9,,700.0
26588,525,,1.0
26588,552,,5000.0
26588,901,,-10.0
26591,9,,700.0
26591,525,,1.0
26591,552,,5000.0
26591,901,,30.0
26794,9,100000000,
26860,9,100000000,
26920,9,,3500.0
26920,525,,1.0
26920,901,,10.0
26920,552,,5000.0
26940,525,,1.0
26940,9,,1500.0
26940,552,,5000.0
26940,901,,20.0
27046,9,,700.0
27046,525,,1.0
27046,552,,5000.0
27046,901,,30.0
27049,9,,700.0
27049,525,,1.0
27049,552,,5000.0
27049,901,,30.0
27939,1939,,0.0
27939,1806,,1.0
27939,9,100000000,
27939,182,3400,
27939,277,1,
27939,472,28111,
27939,556,3600000,
27965,1939,,0.0
27965,1806,,1.0
27965,182,3400,
27965,277,5,
27965,472,28077,
27965,556,3600000,
27965,9,100000000,
27985,1939,,0.0
27985,1806,,1.0
27985,277,1,
27985,472,28127,
27985,556,3600000,
27985,9,100000000,
27985,182,3400,
28005,1939,,0.0
28005,1806,,1.0
